,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
36,2020-03-16,Rugratz,New England Whalers,Mirage,16,10,1,2,5,6,11,4,5151,2340046,85,178,16,10,1,-31.26680526454652,-0.5,-0.5,0,-93,0.5,1
37,2020-03-16,Recon 5,Oceanus,Nuke,16,5,1,1,10,5,6,0,5151,2340317,74,121,16,5,1,-30.53049847102443,0.0,0.0,2,-47,0.5,1
38,2020-03-16,Chaos,In The Lab,Dust2,16,1,1,1,14,1,2,0,5151,2340427,43,124,16,1,1,0.0,0.0,0.0,0,-81,0.5,1
39,2020-03-16,Infinity,Thunder Logic,Dust2,16,14,1,2,10,5,6,9,5151,2340319,137,160,16,14,1,14.597626351594045,0.0,0.0,-1,-23,0.5,1
40,2020-03-16,District 7,Rugratz,Mirage,9,16,2,1,4,11,5,5,5151,2340318,93,85,9,16,2,-17.47843688663511,-0.3333333333333333,-0.3333333333333333,-1,8,0.5,0
41,2020-03-16,Under 21,TeamOne,Nuke,12,16,2,1,7,8,5,8,5151,2340322,80,126,12,16,2,-45.128124822618474,-1.0,-1.0,-3,-46,0.5,0
42,2020-03-16,Chaos,Monstars,Inferno,16,12,1,1,9,6,7,6,5151,2339553,43,119,16,12,1,16.0,1.0,1.0,1,-76,0.5,1
43,2020-03-16,Thunder Logic,New England Whalers,Nuke,16,13,1,1,6,9,10,4,5151,2340323,160,178,16,13,1,-13.226067859156274,-0.3333333333333333,-0.3333333333333333,-1,-18,0.5,1
44,2020-03-16,Singularity,Espada,Nuke,16,11,1,2,9,3,7,8,5247,2340328,65,56,1,2,2,-61.06099694204886,-1.0,-1.0,0,9,0.5,0
45,2020-03-16,Vitality,GODSENT,Vertigo,16,14,1,1,6,9,10,5,5226,2340063,10,17,2,0,1,0.0,0.0,0.0,0,-7,0.5,1
46,2020-03-16,Vitality,GODSENT,Nuke,16,8,1,2,6,3,10,5,5226,2340063,10,17,2,0,1,32.0,1.0,1.0,0,-7,1.0,1
47,2020-03-16,Astralis,NiP,Overpass,8,16,2,2,4,5,4,11,5226,2340065,2,12,0,2,2,0.0,0.0,0.0,0,-10,0.5,0
48,2020-03-16,Thunder Logic,Under 21,Nuke,11,16,2,1,6,9,5,7,5151,2340428,160,80,11,16,2,0.6163948892015014,0.3333333333333333,0.3333333333333333,2,80,0.5,0
49,2020-03-16,Astralis,NiP,Vertigo,6,16,2,1,3,12,3,4,5226,2340065,2,12,0,2,2,-32.0,-1.0,-1.0,0,-10,0.0,0
50,2020-03-16,Singularity,Espada,Mirage,11,16,2,1,5,10,6,6,5247,2340328,65,56,1,2,2,-87.49426726722186,-1.0,-1.0,0,9,0.0,0
51,2020-03-16,Singularity,Espada,Dust2,9,16,2,2,6,4,3,12,5247,2340328,65,56,1,2,2,-111.60188525799549,-1.0,-1.0,0,9,0.0,0
52,2020-03-16,ENCE,Spirit,Inferno,2,16,2,1,2,13,0,3,5226,2340391,21,27,0,2,2,0.0,0.0,0.0,0,-6,0.5,0
53,2020-03-16,ENCE,Spirit,Train,14,16,2,2,7,8,7,8,5226,2340391,21,27,0,2,2,-32.0,-1.0,-1.0,0,-6,0.0,0
54,2020-03-15,Big Frames,Chaos,Overpass,13,16,2,2,10,4,3,12,5151,2340024,92,43,13,16,2,-31.26369320647791,-1.0,-1.0,-2,49,0.5,0
55,2020-03-15,Swole Identity,Mythic,Dust2,9,16,2,1,3,12,6,4,5151,2339757,79,58,9,16,2,0.0,0.0,0.0,0,21,0.5,0
56,2020-03-15,I sleep,Airborne,Nuke,10,16,2,2,3,8,7,8,5248,2340430,173,188,0,2,2,-43.74713363361093,-1.0,-1.0,-3,-15,0.5,0
57,2020-03-15,I sleep,Airborne,Overpass,9,16,2,1,7,8,2,8,5248,2340430,173,188,0,2,2,-71.73903341505843,-1.0,-1.0,-3,-15,0.0,0
58,2020-03-15,Thunder Logic,Swole Identity,Overpass,19,16,1,1,4,11,11,4,5151,2340243,160,79,19,16,1,-13.345373221974569,0.25,0.25,3,81,0.5,1
59,2020-03-15,Chaos,Oceanus,Dust2,16,8,1,1,9,6,7,2,5151,2340425,43,121,16,8,1,63.23019397660755,1.0,1.0,2,-78,0.5,1
60,2020-03-15,TeamOne,Big Frames,Nuke,16,5,1,1,13,2,3,3,5151,2340313,126,92,16,5,1,73.62563405163473,1.0,1.0,3,34,0.5,1
61,2020-03-15,Thunder Logic,In The Lab,Mirage,16,14,1,2,10,5,6,9,5151,2340388,160,124,16,14,1,3.268901853944044,0.4,0.4,4,36,0.5,1
62,2020-03-15,I sleep,Incept,Vertigo,16,8,1,1,8,7,8,1,5248,2340436,173,176,2,0,1,-26.738408939165993,0.0,0.0,2,-3,0.5,1
63,2020-03-15,FunPlus Phoenix,Cloud9,Train,20,22,2,1,5,10,10,5,5242,2340337,14,28,1,2,2,0.0,0.0,0.0,0,-14,0.5,0
64,2020-03-15,Endpoint,Tricked,Mirage,6,16,2,1,4,11,2,5,5247,2340329,40,86,1,2,2,61.06099694204886,1.0,1.0,0,-46,0.5,0
