,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,_map
0,198.17280139477447,0.2999999999999999,0.0999999999999999,62,5,0.5833333333333334,Cobblestone
1,236.2758881703373,0.1999999999999999,0.2,285,-6,0.5555555555555556,Train
2,-184.01231509656736,-0.0999999999999999,-0.3333333333333333,-590,-4,0.1666666666666666,Inferno
3,206.27404133417824,0.3999999999999999,0.2333333333333333,819,-9,0.0,Dust2
4,258.4833430300912,0.5,0.2333333333333333,819,-9,0.0,Inferno
5,313.4382909229364,0.7,0.2666666666666666,819,-9,0.5,Cache
6,-244.9179345624323,-0.1999999999999999,-0.3333333333333333,160,-1,1.0,Train
7,-299.2182675763172,-0.3,-0.3999999999999999,160,-1,0.5,Overpass
8,-215.71007765032027,0.0,-0.3333333333333333,-335,1,0.3809523809523809,Cache
9,-77.92969407986311,-0.0999999999999999,-0.0666666666666666,256,5,0.64,Cobblestone
10,43.95811595198302,-0.0999999999999999,-0.0666666666666666,-139,-8,0.6,Overpass
11,7.930889859796935,-0.3,-0.0999999999999999,-139,-8,0.5714285714285714,Mirage
12,-121.79255824338613,0.0999999999999999,-0.0999999999999999,-720,2,0.5,Cache
13,-143.0130156571838,0.0999999999999999,-0.12,-720,2,0.0,Cobblestone
14,303.4656481263062,0.5,0.5666666666666667,459,-2,0.9375,Cache
15,-456.0249770678772,-0.6,-0.2666666666666666,-785,6,0.5,Dust2
16,115.11322868983348,0.6000000000000001,0.0999999999999999,-204,-4,0.1666666666666666,Dust2
17,72.88255330130755,0.5,0.0333333333333333,-204,-4,0.1428571428571428,Mirage
18,9.781462916690316,0.3,0.1999999999999999,458,2,1.0,Train
19,-23.11920516464329,0.1,0.1333333333333333,458,2,0.75,Cobblestone
20,-396.3475993599243,-0.3999999999999999,-0.231578947368421,-785,6,1.0,Train
21,3.387775555837379,0.2999999999999999,0.1333333333333333,453,-8,0.3529411764705882,Inferno
22,35.07575978466957,0.4,0.1666666666666666,453,-8,0.3888888888888889,Train
23,302.4108590530525,0.5,0.1999999999999999,721,-2,0.5,Inferno
24,247.9602485177268,0.3999999999999999,0.1714285714285714,721,-2,0.0,Cobblestone
25,196.344772434393,0.1999999999999999,0.1454545454545454,721,-2,0.0,Cache
26,-261.0565755104358,0.0,-0.0884057971014492,-782,6,1.0,Cobblestone
27,-31.506117049319528,0.2999999999999999,0.0999999999999999,453,-8,0.3125,Mirage
28,-77.63549541950215,0.1999999999999999,-0.0999999999999999,54,-9,0.2222222222222222,Mirage
29,-120.29236676844312,0.0999999999999999,-0.1333333333333333,54,-9,0.1923076923076923,Inferno
30,-166.55647570367591,0.0,-0.1666666666666666,54,-9,0.16,Cobblestone
31,166.25741747895154,0.2,0.0470588235294117,976,-7,1.0,Train
32,147.0462379529622,0.0,-0.0083333333333333,976,-7,1.0,Cobblestone
33,63.41620421658013,-0.2,-0.2333333333333332,703,-18,1.0,Cache
34,34.591734872595,-0.3999999999999999,-0.2666666666666666,703,-18,0.5,Cobblestone
35,163.5642489554216,0.0999999999999999,0.0,-108,-2,0.75,Mirage
36,-382.2448277115004,-0.6000000000000001,-0.3,60,4,0.5,Overpass
37,-116.24965956464509,-0.2999999999999999,-0.1666666666666666,71,-5,0.4705882352941176,Inferno
38,131.19154698076113,-0.0999999999999999,0.2666666666666666,-50,6,0.375,Inferno
39,-352.3198054018162,-0.5,-0.4333333333333333,-328,4,0.4,Cobblestone
40,547.5546043745715,0.7000000000000001,0.6666666666666667,153,-11,0.7368421052631579,Cache
41,-137.92511213486273,-0.3999999999999999,-0.2,71,-5,0.4444444444444444,Train
42,350.6982834434052,0.2999999999999999,0.3666666666666667,853,-6,1.0,Dust2
43,-126.18270647587906,0.1,0.0666666666666667,-976,8,0.0,Train
44,-106.19786947987086,-0.1,0.0969696969696969,-396,4,0.5,Overpass
45,560.4823332188369,0.7000000000000001,0.7000000000000001,152,-11,0.7222222222222222,Overpass
46,238.9462373949348,0.2,0.1166666666666666,985,-3,1.0,Cache
47,434.9690421235616,0.4,0.4666666666666667,283,-8,0.925925925925926,Cache
48,431.1000175082081,0.7000000000000001,0.3666666666666666,587,-12,0.5,Dust2
49,-426.0272172696245,-0.6000000000000001,-0.3666666666666666,-587,12,0.0,Overpass
50,71.1658542405628,0.0,-0.1512820512820513,395,-4,0.0,Dust2
51,-96.70139275180576,-0.1,0.1238095238095238,-395,4,1.0,Mirage
52,45.71366830993679,-0.4,0.0666666666666666,-446,10,0.7142857142857143,Cache
53,-409.3949077091438,-0.7,-0.4666666666666667,-334,8,0.2,Inferno
54,169.06760373769453,0.5,0.0,887,-14,0.5,Dust2
55,-199.30862930557169,-0.0999999999999999,-0.2666666666666667,-74,1,0.6666666666666666,Dust2
56,125.53832765880908,0.3,0.2,-132,-3,0.4137931034482758,Cache
57,111.41280391287,-0.1999999999999999,0.1666666666666666,-262,-5,0.4285714285714285,Dust2
58,259.08861432627623,0.3999999999999999,0.1666666666666666,847,-7,0.6666666666666666,Mirage
59,-554.412331951045,-0.5,-0.5666666666666667,-21,13,0.45,Inferno
60,-128.87417144649248,-0.0999999999999999,-0.1333333333333333,262,5,0.6666666666666666,Cobblestone
